name,rel,customer,newCol1,newCol2,status,orderType,config,platform,accType,testedBy,submissionReason,reqDate,submissionDate,startDate,endDate,rolloverDate,rolloverDays,rolloverDaysH,waitingDays,waitingDaysH,testingDays,testingDaysH,reportNo,releaseDate,reviewedBy,codeCompare,newFW,tBugs,is_delete,user_id,date,__v
CTC85.00 ,4,TANGEDCO,TANGEDCO,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,VK,Tender changes,2024-02-06,2024-02-06,2024-02-08,2024-02-09,,-45331,,3,1.0,2.0,2.0,,,,,,,False,,,0
UC03.01,0,CESC, BIKANER ,,Released,DLMS Order,"1Ph 5-30A , Cl.1.0",SFF,ENM,SR,Field Modification,2024-02-06,2024-02-06,2024-02-13,2024-02-14,2024-02-16,2,2.0,8,5.0,2.0,2.0,QER-108701(02),2024-02-22,BHR,,,,False,,,0
CTP19.00 ,1,TANGEDCO,TANGEDCO,,Exp Next Itr,DLMS Tender, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,AVM,New firmware,2024-02-07,2024-02-07,2024-02-08,2024-02-13,,-45335,,2,1.0,6.0,4.0,,,VK,,yes,,False,,,0
RH20.01,0,Intellismart,SBPDCL,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SAN,HES Integration changes,2024-02-08,2024-02-08,2024-02-08,2024-02-09,,-45331,,1,0.0,2.0,2.0,QER-108993(1).,2024-02-09,,,,,False,,,0
RH37.00,0,NCC,NBPDCL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,BHR,New firmware,2024-02-08,2024-02-08,2024-02-14,2024-02-15,2024-02-21,6,3.0,7,4.0,2.0,2.0,,,SAN,,yes,,False,,,0
SR81.00,1,TANGEDCO,TANGEDCO,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,BCP,bug fixed,2024-01-25,2024-02-08,2024-02-09,2024-02-12,,-45334,,2,1.0,4.0,2.0,,,VK,,,,False,,,0
HHo002.00 ,1,Techno,MPPKVVCL Indore ,,Subs Itr rel,DLMS Order, 3P4W HTCT Cl 0.2 5-10A,NORTEM,SMART,San,bug fixed,2024-01-19,2024-02-08,2024-02-12,2024-02-16,,-45338,,5,2.0,5.0,5.0,,,,,,,False,,,0
CAO01400,0,TPCL,TPCL,,Stopped,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AM,CR changes,2024-02-08,2024-02-08,2024-02-13,,,0,,6,,-45334.0,,,,,,,,False,,,0
COC54.00 ,0,ESP,BC83GOAN2 ,,On Hold,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,SFF,TVM LT WC,,New firmware,2024-02-08,2024-02-08,,,,0,,-45329,,1.0,,,,,,yes,,False,,,0
CBO010.00 ,2,Intellismart,SBPDCL,Cyan,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,SS,bug fixed,2023-10-20,2024-02-09,2024-02-09,2024-02-14,,-45336,,1,0.0,6.0,4.0,,,,,,,False,,,0
SF94.00,4,TANGEDCO,TANGEDCO,,Completed,DLMS Tender,"1Ph 10-60A , Cl.1.0",SFF,ENM,AM,Tender changes with CTT4.3,2024-02-09,2024-02-09,2024-02-09,2024-02-09,,-45331,,1,0.0,1.0,1.0,,,,,,,False,,,0
CAO01500,0,TPCL,TPCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AVM,New firmware(PCB change),2024-02-09,2024-02-09,2024-02-14,2024-02-20,2024-02-22,2,2.0,6,3.0,7.0,5.0,,,AM,,yes,,False,,,0
CBO013.00,3,Intellismart,MGVCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,San,bug fixed,2024-01-19,2024-02-09,2024-02-09,2024-02-09,,-45331,,1,0.0,1.0,1.0,,,,,,,False,,,0
RH30.00,2,MPPKVVCL Indore,MPPKVVCL Indore,,Withdrawn,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,DK,bug fixed,2024-01-30,2024-02-08,2024-02-13,2024-02-16,,-45338,2.0,6,3.0,4.0,4.0,,,SR,,,,False,,,0
CAO00503,1,J&K,J&K,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AM,Bug fixed,2024-01-12,2024-02-02,2024-02-08,2024-02-09,2024-02-12,3,1.0,7,4.0,2.0,2.0,QER 108858(4),2024-02-13,BCP,,,,False,,,0
RH38.00,0,Adani, UPCL ,Nbiot,Withdrawn,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,,New firmware,2024-02-12,2024-02-13,,,,0,,-45334,5.0,,,,,,,yes,,False,,,0
CBO012.00,4,Intellismart,DGVCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,BHR,bug fixed,2023-11-30,2024-02-13,2024-02-13,2024-02-13,,-45335,,1,0.0,1.0,1.0,QER-109002(1),2024-02-13,,,,,False,,,0
RH36.00,0,Adani,NBPDCL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SR,New firmware,2024-02-13,2024-02-13,2024-02-16,2024-02-22,2024-02-23,1,1.0,4,3.0,7.0,,,,AVM,,yes,,False,,,0
nLo025.02,2,Adani,APDCL,,On Hold,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,,New firmware,2024-02-13,2024-02-13,,,,0,,-45334,12.0,1.0,,,,,,yes,,False,,,0
nLo021.04,4,Adani,APDCL,DI,On Hold,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,VK,New firmware,2024-02-13,2024-02-13,2024-02-27,,,0,,15,10.0,-45348.0,,,,,,yes,,False,,,0
" 5JB03.40 , M2C0202.02",0,MSEDCNLET ,MSEDCNLET ,,Released,DLMS Order, 3P4W LTWC Cl 1.0 20-100A,TT,TVM LT WC,BHR,Modem firmware updated,2024-02-13,2024-02-13,2024-02-23,2024-02-26,,-45348,,11,5.0,4.0,2.0,QER- 108822(1),2024-02-28,,,,,False,,,0
CTP10.00 ,2,MGVCL,MGVCL,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,AM,CTT and display changes,2024-02-13,2024-02-13,2024-02-16,2024-02-19,,-45341,,4,1.0,4.0,2.0,,,AVM,,,,False,,,0
RH21.00,3,Intellismart,PVVNL,,Subs Itr rel,DLMS Order,"1PH  LPR 10-60A,  Cl.1.0",CYGNUS,SMART,SS,CR changes as per new TIF,2023-10-31,2024-02-14,2024-02-20,2024-02-23,,-45345,,7,4.0,4.0,4.0,,,,,,,False,,,0
COP12.00,0,KSEB,KSEB,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,BCP,New firmware,2024-02-14,2024-02-14,2024-02-16,2024-02-20,2024-02-22,2,2.0,3,1.0,5.0,3.0,,,AVM,,yes,,False,,,0
CTP19.00 ,2,TANGEDCO,TANGEDCO,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,AVM,bug fixed,2024-02-07,2024-02-15,2024-02-15,2024-02-15,,-45337,,1,0.0,1.0,1.0,,,,,,,False,,,0
CAO01400,0,TPCL,TPCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AM,CR changes,2024-02-08,2024-02-15,2024-02-15,2024-02-16,2024-02-20,4,2.0,1,0.0,2.0,2.0,QER-109013,2024-02-22,BCP,,,,False,,,0
CBO014.00 ,1,Techno,MPPKVVCL Indore ,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,SS,bug fixed,2024-02-06,2024-02-15,2024-02-15,2024-02-15,,-45337,,1,0.0,1.0,1.0,,,,,,,False,,,0
SR81.00,2,TANGEDCO,TANGEDCO,,Withdrawn,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,,bug fixed,2024-01-25,2024-02-15,,,,0,,-45336,0.0,1.0,,,,,,,,False,,,0
CBO014.00 ,2,Techno,MPPKVVCL Indore ,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,BHR,bug fixed,2024-02-06,2024-02-16,2024-02-16,2024-02-16,2024-02-20,4,2.0,1,0.0,1.0,1.0,,,BCP,,,,False,,,0
CBO013.00,4,Intellismart,MGVCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,VK,bug fixed,2024-01-19,2024-02-16,2024-02-26,2024-02-26,,-45348,,11,7.0,1.0,1.0,,,,,,,False,,,0
5HD16.34,0,ESP,WR300BB11ABTAP3 ,,Released,DLMS Order,3P4W 63.5V 5-10A Cl 0.2 Opt + RS232,SEM N2,TVM HT 0.2,SS,CR changes,2024-02-16,2024-02-16,2024-03-04,2024-03-15,2024-03-19,4,2.0,18,12.0,12.0,8.0,QER-109066,2024-04-25,SAN,,,,False,,,0
CTN08.00 ,1,MGVCL,MGVCL,,Withdrawn,DLMS Tender, 3P4W LTWC Cl 1.0 5-10A,VENUS,TVM LT WC,AM,CTT and display changes,2024-02-16,2024-02-16,2024-02-20,,,0,,5,2.0,-45341.0,,,,,,,,False,,,0
SR81.00,3,TANGEDCO,TANGEDCO,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,San,bug fixed,2024-01-25,2024-02-16,2024-02-19,2024-02-21,,-45343,,4,1.0,3.0,3.0,,,,,,,False,,,0
5YD11.37,0,ESP,AP,,Released,DLMS Order,3P4W 63.5V 1-2A CL0.2 CAT-B,SEM N2,TVM HT 0.2,VK,CR chnges,2024-02-16,2024-02-16,2024-03-04,2024-03-07,2024-03-15,8,4.0,18,12.0,4.0,4.0,QER 108571(6),2024-05-10,BHR,,,,False,,,0
CBO010.00 ,3,Intellismart,SBPDCL,Cyan,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,VK,bug fixed,2023-10-20,2024-02-17,2024-02-17,2024-02-21,,-45343,,1,0.0,5.0,3.0,,,,,,,False,,,0
UD08.00 ,0,MGVCL,MGVCL,,Completed,DLMS Tender,"1Ph 5-30A , Cl.1.0",SFF,ENM,BCP,New firmware,2024-02-19,2024-02-19,2024-02-20,2024-02-22,,-45344,,2,1.0,3.0,3.0,,,SS,,yes,,False,,,0
RH35.00,0,Adani,EEPL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SR,New firmware,2024-02-19,2024-02-19,2024-03-25,2024-03-28,2024-04-02,5,2.0,36,22.0,4.0,4.0,,,BHR,,yes,,False,,,0
M2C0202.02,0,MSEDCL,MSEDCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 20-100A,TT,TVM LT WC,BHR,Modem firmware updated,2024-02-19,2024-02-19,2024-02-23,2024-02-26,,-45348,,5,1.0,4.0,2.0,QER-109020,2024-03-01,,,,,False,,,0
CAO01300,0,Techno,MPPKVVCL Indore,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,VK,New firmware,2024-02-19,2024-02-19,2024-02-21,2024-02-23,,-45345,,3,2.0,3.0,3.0,,,,,yes,,False,,,0
CTC90.00 ,5,WBSEDCL,WBSEDCL,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 20-100A,SFF,TVM LT WC,AM,CR changes,2024-02-19,2024-02-19,2024-02-20,2024-02-21,,-45343,,2,0.0,2.0,1.0,,,,,,,False,,,0
CTN08.00 ,2,MGVCL,MGVCL,,Exp Next Itr,DLMS Tender, 3P4W LTWC Cl 1.0 5-10A,VENUS,TVM LT WC,AM,CTT and display changes,2024-02-16,2024-02-19,2024-02-20,2024-02-20,,-45342,,2,0.0,1.0,1.0,,,,,,,False,,,0
CON07.00,1,ESP,MSEDCL,,Released,DLMS Order, 3P 4W- SFF-LT 5-10A,SFF,TVM LT 0.5,VK,bug fixed,2024-02-05,2024-02-20,2024-02-21,2024-02-21,,-45343,,2,1.0,1.0,1.0,QER-109022,2024-03-01,,,,,False,,,0
RH36.00,1,Adani,NBPDCL,,Stopped,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,,bug fixed,2024-02-13,2024-02-20,2024-03-04,,,0,,14,8.0,-45354.0,,,,,,,,False,,,0
RH40.00,0,Adani,APDCL,,Withdrawn,DLMS Order,"1Ph 5-30A , Cl.1.0",CYGNUS,SMART,AVM,New firmware,2024-02-21,2024-02-21,2024-02-26,2024-02-28,,-45350,,6,3.0,3.0,3.0,,,,,yes,,False,,,0
CTN08.00 ,3,MGVCL,MGVCL,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 5-10A,VENUS,TVM LT WC,AM,bug fixed,2024-02-16,2024-02-21,2024-02-21,2024-02-21,,-45343,,1,0.0,1.0,1.0,,,,,,,False,,,0
5HD14.75 ,0,ESP,ESP-TNDLMS,,Released,DLMS Order,3P4W 63.5V 5-10A Cl 0.2 Opt + RS232,N2AVE,TVM HT 0.2,DK,Checklist implementation and CR changes,2024-02-21,2024-02-21,2024-02-23,2024-02-26,2024-02-28,2,2.0,3,0.0,4.0,2.0,QER-108297(2),2024-02-29,AVM,,,,False,,,0
CBO010.00 ,4,Intellismart,SBPDCL,Cyan,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,SAN,bug fixed,2023-10-20,2024-02-22,2024-02-22,2024-02-22,,-45344,,1,0.0,1.0,1.0,,,,,,,False,,,0
RH38.00,1,Adani, UPCL ,NBiot,On Hold,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,,New firmware,2024-02-12,2024-02-22,,,,0,,-45343,0.0,1.0,,,,,,yes,,False,,,0
CBO00901,2,Intellismart,APDCL ,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,SS,bug fixed,2023-10-06,2024-02-22,2024-02-28,2024-03-01,,-45352,,7,0.0,3.0,3.0,,,,,,,False,,,0
CBO010.00 ,5,Intellismart,SBPDCL,Cyan,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,SAN,bug fixed,2023-10-20,2024-02-23,2024-02-23,2024-02-23,,-45345,,1,0.0,1.0,1.0,,,,,,,False,,,0
RH37.00,1,NCC,NBPDCL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,SR,bug fixed,2024-02-08,2024-02-23,2024-02-26,2024-02-27,,-45349,,4,2.0,2.0,2.0,,,,,,,False,,,0
CON08.00,0,BESCOM ,BESCOM ,,Subs Itr rel,DLMS Order, 3P 4W- SFF-LT 5-10A,SFF,TVM LT 0.5,SS,New firmware,2024-02-23,2024-02-23,2024-03-07,2024-03-13,2024-03-14,1,1.0,14,8.0,7.0,5.0,,,AVM,,yes,,False,,,0
COP12.00,1,KSEB,KSEB,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,BHR,bug fixed,2024-02-14,2024-02-23,2024-02-27,2024-02-28,2024-03-04,5,2.0,5,2.0,2.0,2.0,QER-109034,2024-03-18,SAN,,,,False,,,0
CBO010.00 ,6,Intellismart,SBPDCL,Cyan,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,SAN,bug fixed,2023-10-20,2024-02-23,2024-02-23,2024-02-26,,-45348,,1,0.0,4.0,2.0,,,AVM,,,,False,,,0
CAO01300,1,Techno,MPPKVVCL Indore,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AVM,bug fixed,2024-02-19,2024-02-23,2024-02-24,2024-02-24,,-45346,,2,0.0,1.0,1.0,,,,,,,False,,,0
CAO01300,2,Techno,MPPKVVCL Indore,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,San,bug fixed,2024-02-19,2024-02-26,2024-02-26,2024-02-26,,-45348,,1,0.0,1.0,1.0,,,,,,,False,,,0
CAO01500,1,TPCL,TPCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,San,bug fixed,2024-02-09,2024-02-26,2024-02-27,2024-02-28,2024-03-01,2,2.0,2,1.0,2.0,2.0,,,VK,,,,False,,,0
nLo037.00,0,Adani,NBPDCL ,,On Hold,DLMS Order,3P4W LTCT 240V 5-10A,NORTEM,SMART,,New firmware,2024-02-26,2024-02-26,,,,0,,-45347,,1.0,,,,,,yes,,False,,,0
nLo036.00,0,NCC, NBPDCL ,,Subs Itr rel,DLMS Order,3P4W LTCT 240V 5-10A,NORTEM,SMART,San,New firmware,2024-02-26,2024-02-26,2024-03-29,2024-04-04,2024-04-05,1,1.0,33,21.0,7.0,5.0,,,AVM,,yes,,False,,,0
CBO015.00 ,0,Adani,MSEDCL,,Withdrawn,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,,New firmware,2024-02-26,2024-02-26,,,,0,,-45347,,1.0,,,,,,yes,,False,,,0
5CD00.70,0,ESP,ESP-STD,,Exp Next Itr,New Product,3P4W 63.5V 5-10A Cl 0.2 Opt + RS232,N2AVE,TVM HT 0.2,SR,New firmware(NPD),2024-02-27,2024-02-27,2024-05-23,2024-07-05,2024-07-05,0,,87,50.0,44.0,30.0,,,,,yes,,False,,,0
CBO010.00 ,7,Intellismart,SBPDCL,Cyan,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,SAN,bug fixed,2023-10-20,2024-02-28,2024-02-28,2024-02-28,,-45350,,1,1.0,1.0,1.0,QER Ð109017,2024-02-28,,,,,False,,,0
nLo035.00,0,Adani,MSEDCL,,On Hold,DLMS Order,3P4W LTCT 240V 5-10A,NORTEM,SMART,,New firmware,2024-02-28,2024-02-28,,,,0,,-45349,,1.0,,,,,,yes,,False,,,0
RH37.00,2,NCC,NBPDCL,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,AVM,bug fixed,2024-02-08,2024-02-29,2024-02-29,2024-03-01,2024-03-01,0,1.0,1,0.0,2.0,1.0,,,SS,,,,False,,,0
RH08.02,0,Montecarlo,"MP, Jabalpur ",,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,BCP,CR changes,2024-02-29,2024-02-29,2024-02-29,2024-02-29,,-45351,,1,0.0,1.0,1.0,QER-108915(2),2024-02-29,,,,,False,,,0
CBO013.00,5,Intellismart,MGVCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,BHR,CR change(Hr resolution changed),2024-01-19,2024-02-29,2024-02-29,2024-02-29,,-45351,,1,0.0,1.0,1.0,,,,,,,False,,,0
5YD0N.7A,0,WR300BB51ABTKS,WR300BB51ABTKS,,Released,DLMS Order,3P4W 63.5V 1-2A CL0.2 CAT-B,SEM N2,TVM HT 0.2,San,Checklist implementation,2024-02-29,2024-02-29,2024-03-07,2024-03-08,2024-03-11,3,1.0,8,5.0,2.0,2.0,QER-109037,2024-03-25,AVM,,,,False,,,0
5HD2P.70,0,KSEB,KSEB,,Stopped,DLMS Tender,"3P4W 63.5V 1-2A Cl 0.2Cl Optical + RS485
Bidirectional",N2AVE,TVM HT 0.2,VK,New firmware,2024-02-29,2024-02-29,2024-02-29,,,0,,1,0.0,-45350.0,,,,,,yes,,False,,,0
CTP18.00 ,2,KSEB,KSEB,,Completed,DLMS Tender, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,BHR,New firmware,2024-02-29,2024-02-29,2024-03-11,2024-03-12,,-45363,,12,8.0,2.0,2.0,,,,,yes,,False,,,0
SR81.00,4,TANGEDCO,TANGEDCO,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,BCP,bug fixed,2024-01-25,2024-02-29,2024-03-01,2024-03-01,,-45352,,2,0.0,1.0,1.0,,,,,,,False,,,0
HHo002.06,6,Techno,MPPKVVCL Indore ,,Subs Itr rel,DLMS Order, 3P4W HTCT Cl 0.2 5-10A,NORTEM,SMART,BCP,bug fixed,2024-01-19,2024-03-01,2024-03-04,2024-03-05,2024-03-07,2,2.0,4,2.0,2.0,2.0,,,,,,,False,,,0
UC20.01,0,ESP,ESP-WM101BC7DGOA ,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",MERCURY,ENM,AVM,CR chnges for display,2024-03-01,2024-03-07,2024-03-07,2024-03-07,2024-03-08,1,1.0,1,0.0,1.0,1.0,QER-108987(1),2024-03-08,DK,,,,False,,,0
5YD2E.71,0,KSEB,KSEB,,Released,DLMS Order,3P4W 63.5V 1-2A CL0.2 ,SEM N2,TVM HT 0.2,AM,Checklist implementation,2024-03-01,2024-03-01,2024-03-04,2024-03-06,2024-03-07,1,1.0,4,2.0,2.0,2.0,QER-108781(1),2024-03-13,SAN,,,,False,,,0
5HD2P.70,1,KSEB,KSEB,,Exp Next Itr,DLMS Tender,"3P4W 63.5V 1-2A Cl 0.2Cl Optical + RS485
Unidirectional",N2AVE,TVM HT 0.2,BHR,New firmware,2024-03-01,2024-03-04,2024-03-04,2024-03-08,,-45359,,1,0.0,5.0,4.0,,,,,yes,,False,,,0
UD09.00 ,0,AVVNL,AVVNL,,Exp Next Itr,DLMS Tender,"1Ph 5-30A , Cl.1.0",SFF,ENM,BCP,New firmware,2024-03-01,2024-03-01,2024-03-14,2024-03-19,,-45370,,14,9.0,6.0,4.0,,,SR,,yes,,False,,,0
nLo028.02,2,TPCL,TPCL,,Exp Next Itr,DLMS Order,"3P4W LTCT 240V 5-10A,",NORTEM,SMART,San,bug fixed,2023-11-02,2024-03-01,2024-06-14,2024-06-18,,-45461,,106,80.0,5.0,3.0,,,,,,,False,,,0
RH21.00,4,Intellismart,PVVNL,,Subs Itr rel,DLMS Order,"1PH  LPR 10-60A,  Cl.1.0",CYGNUS,SMART,SR,CR changes as per new TIF,2023-10-31,2024-03-01,2024-03-07,2024-03-08,,-45359,,7,4.0,2.0,2.0,,,,,,,False,,,0
5HD2O.70,1,KSEB,KSEB,,Exp Next Itr,DLMS Tender,"3P4W 63.5V 1-2A Cl 0.2Cl Optical + RS485
Bidirectional",N2AVE,TVM HT 0.2,AVM,New firmware,2024-02-29,2024-03-04,2024-03-04,2024-03-06,,-45357,,1,0.0,3.0,3.0,,,,,yes,,False,,,0
SR81.00,5,TANGEDCO,TANGEDCO,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",SFF,ENM,DK,bug fixed,2024-01-25,2024-03-04,2024-03-05,2024-03-06,2024-03-07,1,1.0,2,1.0,2.0,2.0,QER-109028,2024-03-08,VK,,,,False,,,0
CBO00901,3,Intellismart,APDCL ,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,BCP,bug fixed,2023-10-06,2024-03-04,2024-03-05,2024-03-05,,-45356,,2,1.0,1.0,1.0,QER-109026(1),2024-03-11,AM,,,,False,,,0
CAO01600,0,Adani,AEML,Nbiot,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,AVM,New firmware,2024-03-04,2024-03-04,2024-03-14,2024-03-19,,-45370,,11,7.0,6.0,4.0,,,SAN,,yes,,False,,,0
RH23.00,4,Intellismart,PVVNL,,Withdrawn,DLMS Order,"1Ph 4G 10-60A , Cl.1.0",CYGNUS,SMART,SR,CR changes as per new TIF,2023-10-06,2024-03-04,2024-03-11,2024-03-12,,-45363,,8,4.0,2.0,2.0,,,,,,,False,,,0
CBO011.00,1,Intellismart,SBPDCL,,Stopped,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,,bug fixed,2024-01-24,2024-03-05,2024-03-11,,,0,,7,4.0,-45361.0,,,,,,,,False,,,0
CAO01500,2,TPCL,TPCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-100A,CHRONAS,SMART,BHR,bug fixed,2024-02-09,2024-03-05,2024-03-07,2024-03-07,2024-03-13,6,4.0,3,1.0,1.0,1.0,,,AVM,,,,False,,,0
nHo038.00,0,NCC,NBPDCL,,Exp Next Itr,DLMS Order,3P4W HTCT 63.5V 5-10A,NORTEM,SMART,VK,New firmware,2024-03-05,2024-03-05,2024-03-11,2024-03-15,2024-03-19,4,2.0,7,4.0,5.0,5.0,,,BHR,,yes,,False,,,0
RH36.00,2,Adani,NBPDCL,,Subs Itr rel,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,San,bug fixed,2024-02-13,2024-03-05,2024-03-05,2024-03-06,,-45357,,1,0.0,2.0,2.0,,,,,,,False,,,0
CTC93.00 ,1,WBSEDCL,WBSEDCL,,Exp Next Itr,DLMS Tender, 3P4W LTWC Cl 1.0 5-30A,SFF,TVM LT WC,BCP,New firmware,2024-03-05,2024-03-05,2024-03-06,2024-03-08,,-45359,,2,1.0,3.0,3.0,,,SS,,yes,,False,,,0
RH36.00,3,Adani,NBPDCL,,Released,DLMS Order,"1Ph 10-60A , Cl.1.0",CYGNUS,SMART,AM,bug fixed,2024-02-13,2024-03-07,2024-03-07,2024-03-07,,-45358,,1,0.0,1.0,1.0,QER-109027,2024-03-07,AM,,,,False,,,0
COP11.00 ,1,CESC, RAJASTHAN,,Withdrawn,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,VENUS,TVM LT WC,AM,bug fixed,2023-12-11,2024-03-07,2024-03-11,2024-03-12,2024-03-14,2,2.0,5,2.0,2.0,2.0,QER-109031,2024-03-15,,,,,False,,,0
CBO011.00,2,Intellismart,SBPDCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,AVM,bug fixed,2024-01-24,2024-03-11,2024-03-11,2024-03-12,,-45363,,1,0.0,2.0,2.0,,,,,,,False,,,0
CBO013.00,6,Intellismart,MGVCL,,Released,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,BCP,CR change(Kvarh added to Hr mode),2024-01-19,2024-03-11,2024-03-11,2024-03-12,2024-03-13,1,1.0,1,0.0,2.0,2.0,QER-109032(1),2024-03-19,BCP,,,,False,,,0
RH40.00,1,Adani,APDCL,,Withdrawn,DLMS Order,"1Ph 5-30A , Cl.1.0",CYGNUS,SMART,SR,New firmware,2024-02-21,2024-03-11,2024-03-13,2024-03-18,,-45369,,3,2.0,6.0,4.0,,,,,yes,,False,,,0
CBO016.00,0,NCC,NBPDCL,,Subs Itr rel,DLMS Order, 3P4W LTWC Cl 1.0 10-60A,CHRONAS,SMART,DK,CR changes,2024-03-12,2024-03-12,2024-03-14,2024-03-18,2024-03-19,1,1.0,3,2.0,5.0,3.0,,,AVM,,,,False,,,0
5HD2P.70,2,KSEB,KSEB,,Completed,DLMS Tender,"3P4W 63.5V 1-2A Cl 0.2Cl Optical + RS485
Unidirectional",N2AVE,TVM HT 0.2,san,bug fixed,2024-03-01,2024-03-12,2024-03-18,2024-03-19,,-45370,,7,4.0,2.0,2.0,,,SS,,,,False,,,0
5HD2O.70,2,KSEB,KSEB,,Exp Next Itr,DLMS Tender,"3P4W 63.5V 1-2A Cl 0.2Cl Optical + RS485
Bidirectional",N2AVE,TVM HT 0.2,BCP,bug fixed,2024-02-29,2024-03-12,2024-03-12,2024-03-13,,-45364,,1,0.0,2.0,2.0,,,,,,,False,,,0
